Disease,Herb ID,Herb name,distance,Z-score,Mean-value,stand_deviation,p-value
Cough Variant Asthma,H5162,SHE GAN,2.278947368421053,0.9831823323078888,2.235789473684211,0.04389612518314326,0.9
Cough Variant Asthma,H3794,MA HUANG,1.8121442125237193,-3.7208703149559788,1.9119544592030362,0.02682443574508126,0.0
Cough Variant Asthma,H5211,SHENG JIANG,1.8134490238611713,-1.1457394060013883,1.8947939262472886,0.07099773470305051,0.1
Cough Variant Asthma,H6109,XI XIN,1.848,-4.400304529882356,1.9477333333333333,0.022665097984934157,0.0
Cough Variant Asthma,H7468,ZI WAN,1.9066265060240963,-0.1974493645630065,1.9207831325301208,0.07169750349592562,0.2
Cough Variant Asthma,H3328,KUAN DONG HUA,1.8299445471349354,-2.7640681123056803,1.888724584103512,0.021265770082469,0.0
Cough Variant Asthma,H1210,DA ZAO,1.8225538971807629,-1.6045149064768278,1.8772802653399665,0.03410773433035349,0.1
Cough Variant Asthma,H343,BAN XIA,1.8212389380530973,-2.8181976162249436,1.8975221238938054,0.02706807549673949,0.0
Cough Variant Asthma,H5972,WU WEI ZI,1.8872832369942196,-3.076976944152482,1.9624277456647399,0.024421537773731333,0.0
