node_from,(+)-Medicarpin,Baicalin,berberine,beta-carotene,ellagic acid,luteolin,naringenin,podophyllotoxin
(+)-Medicarpin,1.0,0.16666666666666669,0.25,0.16666666666666669,0.027777777777777818,0.25925925916666676,0.0,0.3055555555555556
Baicalin,0.16666666666666669,1.0,0.3333333333333334,0.16666666666666669,0.09722222222222227,0.3518518519444445,0.3333333333333334,0.3055555555555556
berberine,0.25,0.3333333333333334,1.0,0.36868686861111116,0.3518518519444445,0.656862745,0.33760683750000003,0.4444444444444445
beta-carotene,0.16666666666666669,0.16666666666666669,0.36868686861111116,1.0,0.2777777777777778,0.3888888888888889,0.16666666666666669,0.3888888888888889
ellagic acid,0.027777777777777818,0.09722222222222227,0.3518518519444445,0.2777777777777778,1.0,0.36868686861111116,0.16666666666666669,0.3055555555555556
luteolin,0.25925925916666676,0.3518518519444445,0.656862745,0.3888888888888889,0.36868686861111116,1.0,0.3518518519444445,0.494949495
naringenin,0.0,0.3333333333333334,0.33760683750000003,0.16666666666666669,0.16666666666666669,0.3518518519444445,1.0,0.24603174611111123
podophyllotoxin,0.3055555555555556,0.3055555555555556,0.4444444444444445,0.3888888888888889,0.3055555555555556,0.494949495,0.24603174611111123,1.0
